geo_id,prompt
74,"The latitude and longitude of the POI are 40.721765 North and 73.990148 West.
 The POI is located at 219 Eldridge Street. The postcode of the POI is 10002."
75,"The latitude and longitude of the POI are 40.72419 North and 73.994387 West.
 The POI is located at 278 Mott Street. The postcode of the POI is 10012."
76,"The name of this POI is 520 Madison Avenue. The latitude and longitude of the POI are 40.760482 North and 73.974575 West.
 The POI is located at 520 Madison Avenue in New York. The postcode of the POI is 10037."
77,"The name of this POI is Dwight Street & Van Dyke Street. The latitude and longitude of the POI are 40.673768 North and 74.011722 West.
 The postcode of the POI is 11231."
78,"The latitude and longitude of the POI are 40.714281 North and 73.965025 West.
 The POI is located at 70 South 2nd Street. The postcode of the POI is 11249."
79,"The latitude and longitude of the POI are 40.737557 North and 74.008188 West.
 The POI is located at 366 West 12th Street. The postcode of the POI is 10014."
80,"The name of this POI is August Wilson Theatre. The latitude and longitude of the POI are 40.763315 North and 73.984165 West.
 The POI is located at 245 West 52nd Street in New York. The postcode of the POI is 10019."
81,"The latitude and longitude of the POI are 40.78482 North and 73.977128 West.
 The POI is located at 448 Amsterdam Avenue in New York. The postcode of the POI is 10024."
82,"The name of this POI is Community Grocery & Candy. The latitude and longitude of the POI are 40.731545 North and 73.982828 West.
 The POI is located at 353 East 14th Street in New York. The postcode of the POI is 10003."
83,"The name of this POI is Casey's Flower Studio. The latitude and longitude of the POI are 40.73378 North and 73.999557 West.
 The POI is located at 1 Greenwich Avenue. The postcode of the POI is 10014."
84,"The latitude and longitude of the POI are 40.736627 North and 73.990885 West.
 The postcode of the POI is 10003."
85,"The name of this POI is Ellington Apartments. The latitude and longitude of the POI are 40.763204 North and 73.984773 West.
 The postcode of the POI is 10019."
86,"The latitude and longitude of the POI are 40.723067 North and 73.988504 West.
 The postcode of the POI is 10002."
87,"The latitude and longitude of the POI are 40.76125 North and 73.965713 West.
 The POI is located at 217 East 59th Street. The postcode of the POI is 10022."
88,"The latitude and longitude of the POI are 40.737013 North and 73.991855 West.
 The POI is located at 5 East 16th Street. The postcode of the POI is 10003."
89,"The latitude and longitude of the POI are 40.781856 North and 73.979227 West.
 The POI is located at 364 Amsterdam Avenue. The postcode of the POI is 10024."
90,"The name of this POI is Codex. The latitude and longitude of the POI are 40.72534 North and 73.992491 West.
 The POI is located at 1 Bleecker Street. The postcode of the POI is 10012."
91,"The name of this POI is The Chatwal. The latitude and longitude of the POI are 40.756712 North and 73.984538 West.
 The POI is located at 130 West 44th Street in New York. The postcode of the POI is 10036."
92,"The latitude and longitude of the POI are 40.720071 North and 73.988231 West.
 The POI is located at 100 Rivington Street. The postcode of the POI is 10002."
93,"The latitude and longitude of the POI are 40.72511 North and 73.981301 West.
 The POI is located at 182 East 7th Street. The postcode of the POI is 10009."
94,"The name of this POI is West Houston Street & LaGuardia Place. The latitude and longitude of the POI are 40.726986 North and 73.999844 West.
 The postcode of the POI is 10014."
95,"The latitude and longitude of the POI are 40.731663 North and 74.003115 West.
 The POI is located at 275 Bleecker Street. The postcode of the POI is 10014."
96,"The latitude and longitude of the POI are 40.764135 North and 73.981192 West.
 The POI is located at 854 7th Avenue. The postcode of the POI is 10019."
97,"The name of this POI is Union Square East / Park Avenue South. The latitude and longitude of the POI are 40.736549 North and 73.989279 West.
 The postcode of the POI is 10003."
98,"The name of this POI is Westbeth Artists Community. The latitude and longitude of the POI are 40.736499 North and 74.009196 West.
 The postcode of the POI is 10014."
99,"The latitude and longitude of the POI are 40.738761 North and 73.988613 West.
 The POI is located at 41 East 20th Street. The postcode of the POI is 10010."
100,"The name of this POI is Microsoft SOHO Office. The latitude and longitude of the POI are 40.724622 North and 73.995861 West.
 The POI is located at 300 Lafayette Street in New York. The postcode of the POI is 10012."
101,"The latitude and longitude of the POI are 40.735019 North and 74.003 West.
 The POI is located at 47 Charles Street. The postcode of the POI is 10014."
102,"The name of this POI is Miracle Garden. The latitude and longitude of the POI are 40.72282 North and 73.983331 West.
 The POI is located at 194 East 3rd Street in New York. The postcode of the POI is 10009."
103,"The name of this POI is New York University. The latitude and longitude of the POI are 40.728898 North and 73.998128 West.
 The postcode of the POI is 10012."
104,"The latitude and longitude of the POI are 40.719238 North and 73.985588 West.
 The POI is located at 150 Rivington Street in New York. The postcode of the POI is 10002."
105,"The name of this POI is De Forest Building. The latitude and longitude of the POI are 40.722283 North and 73.999529 West.
 The postcode of the POI is 10012."
106,"The name of this POI is Caliente Cab. The latitude and longitude of the POI are 40.731996 North and 74.003582 West.
 The POI is located at 61 7th Avenue South. The postcode of the POI is 10014."
107,"The name of this POI is Chelsea Piers. The latitude and longitude of the POI are 40.745176 North and 74.009442 West.
 The postcode of the POI is 10011."
108,"The latitude and longitude of the POI are 40.726121 North and 73.992822 West.
 The POI is located at 50 Bond Street. The postcode of the POI is 10012."
109,"The name of this POI is The Red Lion. The latitude and longitude of the POI are 40.728378 North and 73.99954 West.
 The POI is located at 151 Bleecker Street. The postcode of the POI is 10012."
110,"The name of this POI is West 4th Street. The latitude and longitude of the POI are 40.733727 North and 74.002719 West.
 The postcode of the POI is 10014."
111,"The name of this POI is 1500 Broadway. The latitude and longitude of the POI are 40.756929 North and 73.985453 West.
 The POI is located at 1500 Broadway. The postcode of the POI is 10019."
112,"The latitude and longitude of the POI are 40.738783 North and 73.98894 West.
 The POI is located at 28 East 20th Street. The postcode of the POI is 10003."
113,"The latitude and longitude of the POI are 40.719698 North and 73.987696 West.
 The POI is located at 123 Essex Street. The postcode of the POI is 10002."
114,"The latitude and longitude of the POI are 40.728156 North and 73.981262 West.
 The POI is located at 508 East 11th Street. The postcode of the POI is 10009."
115,"The name of this POI is Christopher Street-Sheridan Square. The latitude and longitude of the POI are 40.733942 North and 74.002547 West.
 The postcode of the POI is 10014."
116,"The latitude and longitude of the POI are 40.755207 North and 73.968296 West.
 The POI is located at 953 2nd Avenue in New York. The postcode of the POI is 10022."
117,"The latitude and longitude of the POI are 40.72702 North and 74.001898 West.
 The POI is located at 143 Sullivan Street. The postcode of the POI is 10012."
118,"The latitude and longitude of the POI are 40.725472 North and 73.983783 West.
 The POI is located at 94 Avenue A. The postcode of the POI is 10009."
119,"The latitude and longitude of the POI are 40.730517 North and 74.0002 West.
 The POI is located at 125 Mac Dougal Street. The postcode of the POI is 10012."
120,"The name of this POI is Canal Street (R,W). The latitude and longitude of the POI are 40.71966 North and 74.001755 West.
 The postcode of the POI is 10012."
121,"The latitude and longitude of the POI are 40.672797 North and 73.983208 West.
 The POI is located at 369 3rd Street. The postcode of the POI is 11215."
122,"The name of this POI is Doughnut Plant. The latitude and longitude of the POI are 40.716347 North and 73.988543 West.
 The POI is located at 379 Grand Street in New York. The postcode of the POI is 10002."
123,"The latitude and longitude of the POI are 40.728573 North and 73.983103 West.
 The POI is located at 265 East 10th Street. The postcode of the POI is 10009."
124,"The name of this POI is Harvestworks. The latitude and longitude of the POI are 40.724846 North and 73.996664 West.
 The POI is located at 596 Broadway in New York. The postcode of the POI is 10012."
125,"The name of this POI is Grey Bar & Restaurant. The latitude and longitude of the POI are 40.744557 North and 73.99065 West.
 The POI is located at 43 West 26th Street in New York. The postcode of the POI is 10010."
126,"The latitude and longitude of the POI are 40.780589 North and 73.980739 West.
 The POI is located at 2130 Broadway in New York. The postcode of the POI is 10023."
127,"The latitude and longitude of the POI are 40.71816 North and 73.959594 West.
 The POI is located at 132 Berry Street. The postcode of the POI is 11249."
128,"The latitude and longitude of the POI are 40.727173 North and 73.988751 West.
 The POI is located at 97 2nd Avenue. The postcode of the POI is 10003."
129,"The name of this POI is Set L.E.S. The latitude and longitude of the POI are 40.719854 North and 73.988492 West.
 The POI is located at 217 Ludlow Street in New York. The postcode of the POI is 10002."
130,"The name of this POI is Essex Street Retail Market. The latitude and longitude of the POI are 40.71875 North and 73.987775 West.
 The postcode of the POI is 10002."
131,"The name of this POI is Franklin Street. The latitude and longitude of the POI are 40.719775 North and 74.006713 West.
 The postcode of the POI is 10013."
132,"The name of this POI is Giando On the Water. The latitude and longitude of the POI are 40.710657 North and 73.969355 West.
 The POI is located at 400 Kent Avenue in Brooklyn. The postcode of the POI is 11211."
133,"The latitude and longitude of the POI are 40.718152 North and 73.990002 West.
 The POI is located at 254 Broome Street. The postcode of the POI is 10002."
134,"The latitude and longitude of the POI are 40.72417 North and 73.978871 West.
 The POI is located at 111 Avenue C. The postcode of the POI is 10009."
135,"The latitude and longitude of the POI are 40.739477 North and 74.006661 West.
 The POI is located at 51 Gansevoort Street in New York. The postcode of the POI is 10014."
136,"The name of this POI is $1.50 Pizza. The latitude and longitude of the POI are 40.725325 North and 73.984125 West.
 The POI is located at 91 Avenue A. The postcode of the POI is 10009."
137,"The latitude and longitude of the POI are 40.727282 North and 74.001756 West.
 The POI is located at 150 Sullivan Street. The postcode of the POI is 10012."
138,"The name of this POI is Free Public Stargazing. The latitude and longitude of the POI are 40.772531 North and 73.983442 West.
 The POI is located at 10 Lincoln Center Plaza in New York. The postcode of the POI is 10023."
139,"The latitude and longitude of the POI are 40.721724 North and 73.994553 West.
 The POI is located at 192 Elizabeth Street. The postcode of the POI is 10012."
140,"The latitude and longitude of the POI are 40.72 North and 73.987832 West.
 The POI is located at 110 Rivington Street. The postcode of the POI is 10002."
141,"The name of this POI is Kaufman Music Center. The latitude and longitude of the POI are 40.775148 North and 73.983103 West.
 The POI is located at 129 West 67th Street in New York. The postcode of the POI is 10023."
142,"The name of this POI is CVS Pharmacy. The latitude and longitude of the POI are 40.72488 North and 73.994685 West.
 The postcode of the POI is 10002."
143,"The name of this POI is Il Posto Accanto. The latitude and longitude of the POI are 40.722347 North and 73.984078 West.
 The POI is located at 190 East 2nd Street. The postcode of the POI is 10009."
144,"The name of this POI is Mobil. The latitude and longitude of the POI are 40.755944 North and 73.998111 West.
 The POI is located at 466 10th Avenue. The postcode of the POI is 10018."
145,"The latitude and longitude of the POI are 40.730047 North and 74.003214 West.
 The POI is located at 38 - 40 Carmine Street in New York. The postcode of the POI is 10014."
146,"The latitude and longitude of the POI are 40.728988 North and 73.988404 West.
 The POI is located at 27 Saint Marks Place. The postcode of the POI is 10003."
147,"The latitude and longitude of the POI are 40.729444 North and 73.985883 West.
 The POI is located at 215 East 10th Street. The postcode of the POI is 10003."
148,"The name of this POI is Raiz. The latitude and longitude of the POI are 40.727117 North and 73.985617 West.
 The POI is located at 120 1st Avenue. The postcode of the POI is 10009."
149,"The name of this POI is Hudson Hotel. The latitude and longitude of the POI are 40.768396 North and 73.984756 West.
 The POI is located at 358 West 58th Street in New York. The postcode of the POI is 10019."
150,"The latitude and longitude of the POI are 40.722898 North and 73.983235 West.
 The POI is located at 197 East 3rd Street. The postcode of the POI is 10009."
151,"The latitude and longitude of the POI are 40.770387 North and 73.956914 West.
 The POI is located at 1424 2nd Avenue. The postcode of the POI is 10021."
152,"The latitude and longitude of the POI are 40.73695 North and 73.990839 West.
 The POI is located at 35 Union Square West. The postcode of the POI is 10003."
153,"The name of this POI is Village View Parking Area 3. The latitude and longitude of the POI are 40.725638 North and 73.984561 West.
 The postcode of the POI is 10009."
154,"The latitude and longitude of the POI are 40.730832 North and 74.000951 West.
 The POI is located at 134 West 3rd Street in New York. The postcode of the POI is 10012."
155,"The latitude and longitude of the POI are 40.723498 North and 74.003344 West.
 The POI is located at 512 Broome Street. The postcode of the POI is 10013."
156,"The name of this POI is Canal Street. The latitude and longitude of the POI are 40.723766 North and 74.008457 West.
 The postcode of the POI is 10005."
157,"The latitude and longitude of the POI are 40.727339 North and 73.986561 West.
 The POI is located at 73-75 East 7th Street. The postcode of the POI is 10009."
158,"The latitude and longitude of the POI are 40.730836 North and 74.000919 West.
 The POI is located at 135 West 3rd Street. The postcode of the POI is 10012."
159,"The name of this POI is Citi Bike - Carmine St & 6 Ave. The latitude and longitude of the POI are 40.730315 North and 74.00229 West.
 The postcode of the POI is 10014."
160,"The name of this POI is Citigroup Center. The latitude and longitude of the POI are 40.758357 North and 73.970546 West.
 The postcode of the POI is 10035."
161,"The latitude and longitude of the POI are 40.726104 North and 73.989213 West.
 The POI is located at 86 East 4th Street. The postcode of the POI is 10003."
162,"The latitude and longitude of the POI are 40.72869 North and 74.002061 West.
 The POI is located at 71 Mac Dougal Street. The postcode of the POI is 10012."
163,"The name of this POI is 14th Street. The latitude and longitude of the POI are 40.736529 North and 73.997462 West.
 The postcode of the POI is 10019."
164,"The latitude and longitude of the POI are 40.727036 North and 73.989455 West.
 The POI is located at 237 East 5th Street. The postcode of the POI is 10003."
165,"The latitude and longitude of the POI are 40.728271 North and 73.988659 West.
 The POI is located at 43 East 7th Street. The postcode of the POI is 10003."
166,"The name of this POI is Avenue A & Saint Marks Place. The latitude and longitude of the POI are 40.726806 North and 73.982776 West.
 The postcode of the POI is 10009."
167,"The latitude and longitude of the POI are 40.722176 North and 73.996819 West.
 The POI is located at 57 Spring Street. The postcode of the POI is 10012."
168,"The latitude and longitude of the POI are 40.728449 North and 74.004532 West.
 The POI is located at 200 Varick Street in New York. The postcode of the POI is 10014."
169,"The latitude and longitude of the POI are 40.723401 North and 73.988475 West.
 The POI is located at 15 1st Avenue. The postcode of the POI is 10003."
170,"The latitude and longitude of the POI are 40.731307 North and 74.002374 West.
 The POI is located at 26 Cornelia Street. The postcode of the POI is 10014."
171,"The latitude and longitude of the POI are 40.740778 North and 73.981829 West.
 The POI is located at 155 East 26th Street. The postcode of the POI is 10016."
172,"The latitude and longitude of the POI are 40.728543 North and 73.984699 West.
 The POI is located at 153 1st Avenue. The postcode of the POI is 10003."
173,"The latitude and longitude of the POI are 40.730178 North and 74.000322 West.
 The POI is located at 130-132 Mac Dougal Street in New York. The postcode of the POI is 10012."
174,"The latitude and longitude of the POI are 40.738658 North and 74.005542 West.
 The POI is located at 636 Hudson Street. The postcode of the POI is 10014."
175,"The name of this POI is The Little Gym. The latitude and longitude of the POI are 40.780558 North and 73.981719 West.
 The postcode of the POI is 10023."
176,"The latitude and longitude of the POI are 40.724297 North and 73.988056 West.
 The POI is located at 39 1st Avenue. The postcode of the POI is 10003."
177,"The latitude and longitude of the POI are 40.778364 North and 73.981633 West.
 The POI is located at 2080 Broadway. The postcode of the POI is 10023."
178,"The name of this POI is Holland Tunnel. The latitude and longitude of the POI are 40.726074 North and 74.009278 West.
 The postcode of the POI is 10005."
179,"The latitude and longitude of the POI are 40.731744 North and 74.001123 West.
 The POI is located at 345 6th Avenue. The postcode of the POI is 10014."
180,"The name of this POI is The Gallery. The latitude and longitude of the POI are 40.777556 North and 73.979172 West.
 The POI is located at 112 West 72nd Street. The postcode of the POI is 10023."
181,"The latitude and longitude of the POI are 40.731332 North and 74.002522 West.
 The POI is located at 31 Cornelia Street. The postcode of the POI is 10014."
182,"The latitude and longitude of the POI are 40.763063 North and 73.976067 West.
 The POI is located at 29 West 56th Street in New York. The postcode of the POI is 10019."
183,"The name of this POI is 7th Avenue & Garfield Place. The latitude and longitude of the POI are 40.672259 North and 73.977117 West.
 The postcode of the POI is 11215."
184,"The latitude and longitude of the POI are 40.751765 North and 73.972755 West.
 The POI is located at 210 East 44th Street in New York. The postcode of the POI is 10017."
185,"The name of this POI is Glaze Teriyaki. The latitude and longitude of the POI are 40.73429 North and 73.992556 West.
 The POI is located at 110 University Place. The postcode of the POI is 10003."
186,"The latitude and longitude of the POI are 40.732024 North and 74.001359 West.
 The POI is located at 161 West 4th Street. The postcode of the POI is 10014."
187,"The latitude and longitude of the POI are 40.762977 North and 73.976285 West.
 The POI is located at 36 West 56th Street. The postcode of the POI is 10019."
188,"The latitude and longitude of the POI are 40.72478 North and 73.994703 West.
 The POI is located at 47 East Houston Street. The postcode of the POI is 10012."
189,"The latitude and longitude of the POI are 40.735482 North and 74.006074 West.
 The POI is located at 561 Hudson Street. The postcode of the POI is 10014."
190,"The latitude and longitude of the POI are 40.722185 North and 74.009593 West.
 The POI is located at 54 Laight Street. The postcode of the POI is 10013."
191,"The latitude and longitude of the POI are 40.715594 North and 73.998234 West.
 The POI is located at 70 Bayard Street. The postcode of the POI is 10013."
192,"The latitude and longitude of the POI are 40.763943 North and 73.976363 West.
 The POI is located at 50 West 57th Street in New York. The postcode of the POI is 10019."
193,"The name of this POI is Sixty SoHo. The latitude and longitude of the POI are 40.723914 North and 74.003017 West.
 The POI is located at 60 Thompson Street. The postcode of the POI is 10012."
194,"The latitude and longitude of the POI are 40.771142 North and 73.983464 West.
 The POI is located at 10 Lincoln Center Plaza in New York. The postcode of the POI is 10023."
195,"The name of this POI is Citi Bike - Broadway & West 49th Street. The latitude and longitude of the POI are 40.760781 North and 73.984337 West.
 The postcode of the POI is 10019."
196,"The latitude and longitude of the POI are 40.760268 North and 73.975126 West.
 The postcode of the POI is 10103."
197,"The latitude and longitude of the POI are 40.719455 North and 73.996361 West.
 The POI is located at 157 Mott Street. The postcode of the POI is 10013."
198,"The latitude and longitude of the POI are 40.671336 North and 73.984395 West.
 The POI is located at 365 5th Avenue. The postcode of the POI is 11215."
199,"The name of this POI is Link NYC. The latitude and longitude of the POI are 40.769734 North and 73.96664 West.
 The postcode of the POI is 10021."
200,"The name of this POI is Webster Hall. The latitude and longitude of the POI are 40.731698 North and 73.989227 West.
 The POI is located at 125 East 11th Street in New York. The postcode of the POI is 10003."
201,"The latitude and longitude of the POI are 40.775648 North and 73.980065 West.
 The POI is located at 205 Columbus Avenue. The postcode of the POI is 10023."
202,"The name of this POI is The Clinton School. The latitude and longitude of the POI are 40.736181 North and 73.992217 West.
 The POI is located at 10 East 15th Street. The postcode of the POI is 10003."
